Move,Type,Cat.,Pwr.,Acc.,PP,S. Contest,Appeal,Pokemon Name,level
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Chikorita,1
Growl,Normal,Status,—,100%,40,Cute,2 ♥♥,Chikorita,1
Razor Leaf,Grass,Physical,55,95%,25,Cool,3 ♥♥♥,Chikorita,6
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Chikorita,9
Synthesis,Grass,Status,—,—%,5,Smart,0,Chikorita,12
Reflect,Psychic,Status,—,—%,20,Smart,2 ♥♥,Chikorita,17
Magical Leaf,Grass,Special,60,—%,20,Beauty,2 ♥♥,Chikorita,20
Natural Gift,Normal,Physical,—,100%,15,Cool,2 ♥♥,Chikorita,23
Sweet Scent,Normal,Status,—,100%,20,Cute,2 ♥♥,Chikorita,28
Light Screen,Psychic,Status,—,—%,30,Beauty,2 ♥♥,Chikorita,31
Body Slam,Normal,Physical,85,100%,15,Tough,3 ♥♥♥,Chikorita,34
Safeguard,Normal,Status,—,—%,25,Beauty,2 ♥♥,Chikorita,39
Aromatherapy,Grass,Status,—,—%,5,Smart,0,Chikorita,42
SolarBeam,Grass,Special,120,100%,10,Cool,1 ♥,Chikorita,45
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Bayleef,1
Growl,Normal,Status,—,100%,40,Cute,2 ♥♥,Bayleef,1
Razor Leaf,Grass,Physical,55,95%,25,Cool,3 ♥♥♥,Bayleef,1
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Bayleef,1
Razor Leaf,Grass,Physical,55,95%,25,Cool,3 ♥♥♥,Bayleef,6
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Bayleef,9
Synthesis,Grass,Status,—,—%,5,Smart,0,Bayleef,12
Reflect,Psychic,Status,—,—%,20,Smart,2 ♥♥,Bayleef,18
Magical Leaf,Grass,Special,60,—%,20,Beauty,2 ♥♥,Bayleef,22
Natural Gift,Normal,Physical,—,100%,15,Cool,2 ♥♥,Bayleef,26
Sweet Scent,Normal,Status,—,100%,20,Cute,2 ♥♥,Bayleef,32
Light Screen,Psychic,Status,—,—%,30,Beauty,2 ♥♥,Bayleef,36
