Level,Move,Type,Cat.,Pwr.,Acc.,PP,Pokemon Name
1.0,Tackle,Normal,Physical,35,95%,35.0,Chikorita
1.0,Growl,Normal,Status,—,100%,40.0,Chikorita
6.0,Razor Leaf,Grass,Physical,55,95%,25.0,Chikorita
9.0,PoisonPowder,Poison,Status,—,75%,35.0,Chikorita
12.0,Synthesis,Grass,Status,—,—%,5.0,Chikorita
17.0,Reflect,Psychic,Status,—,—%,20.0,Chikorita
20.0,Magical Leaf,Grass,Special,60,—%,20.0,Chikorita
23.0,Natural Gift,Normal,Physical,—,100%,15.0,Chikorita
28.0,Sweet Scent,Normal,Status,—,100%,20.0,Chikorita
31.0,Light Screen,Psychic,Status,—,—%,30.0,Chikorita
34.0,Body Slam,Normal,Physical,85,100%,15.0,Chikorita
39.0,Safeguard,Normal,Status,—,—%,25.0,Chikorita
42.0,Aromatherapy,Grass,Status,—,—%,5.0,Chikorita
45.0,SolarBeam,Grass,Special,120,100%,10.0,Chikorita
1.0,Tackle,Normal,Physical,35,95%,35.0,Bayleef
1.0,Growl,Normal,Status,—,100%,40.0,Bayleef
1.0,Razor Leaf,Grass,Physical,55,95%,25.0,Bayleef
1.0,PoisonPowder,Poison,Status,—,75%,35.0,Bayleef
6.0,Razor Leaf,Grass,Physical,55,95%,25.0,Bayleef
9.0,PoisonPowder,Poison,Status,—,75%,35.0,Bayleef
12.0,Synthesis,Grass,Status,—,—%,5.0,Bayleef
18.0,Reflect,Psychic,Status,—,—%,20.0,Bayleef
22.0,Magical Leaf,Grass,Special,60,—%,20.0,Bayleef
26.0,Natural Gift,Normal,Physical,—,100%,15.0,Bayleef
32.0,Sweet Scent,Normal,Status,—,100%,20.0,Bayleef
36.0,Light Screen,Psychic,Status,—,—%,30.0,Bayleef
40.0,Body Slam,Normal,Physical,85,100%,15.0,Bayleef
46.0,Safeguard,Normal,Status,—,—%,25.0,Bayleef
50.0,Aromatherapy,Grass,Status,—,—%,5.0,Bayleef
54.0,SolarBeam,Grass,Special,120,100%,10.0,Bayleef
1.0,Tackle,Normal,Physical,35,95%,35.0,Meganium
1.0,Growl,Normal,Status,—,100%,40.0,Meganium
1.0,Razor Leaf,Grass,Physical,55,95%,25.0,Meganium
1.0,PoisonPowder,Poison,Status,—,75%,35.0,Meganium
6.0,Razor Leaf,Grass,Physical,55,95%,25.0,Meganium
9.0,PoisonPowder,Poison,Status,—,75%,35.0,Meganium
12.0,Synthesis,Grass,Status,—,—%,5.0,Meganium
18.0,Reflect,Psychic,Status,—,—%,20.0,Meganium
22.0,Magical Leaf,Grass,Special,60,—%,20.0,Meganium
26.0,Natural Gift,Normal,Physical,—,100%,15.0,Meganium
32.0,Petal Dance,Grass,Special,90,100%,20.0,Meganium
34.0,Sweet Scent,Normal,Status,—,100%,20.0,Meganium
40.0,Light Screen,Psychic,Status,—,—%,30.0,Meganium
46.0,Body Slam,Normal,Physical,85,100%,15.0,Meganium
54.0,Safeguard,Normal,Status,—,—%,25.0,Meganium
60.0,Aromatherapy,Grass,Status,—,—%,5.0,Meganium
66.0,SolarBeam,Grass,Special,120,100%,10.0,Meganium
,Tackle,Normal,Physical,35,95%,35.0,Cyndaquil
,Leer,Normal,Status,—,100%,30.0,Cyndaquil
,SmokeScreen,Normal,Status,—,100%,20.0,Cyndaquil
,Ember,Fire,Special,40,100%,25.0,Cyndaquil
,Quick Attack,Normal,Physical,40,100%,30.0,Cyndaquil
,Flame Wheel,Fire,Physical,60,100%,25.0,Cyndaquil
